Academic Yr,Degree Level Desc,Degree Desc,Headcount
2018-19,Masters/Professional,Master of Landscape Arch,34
2018-19,Masters/Professional,Master of Laws,372
2018-19,Masters/Professional,Master of Public Affairs,37
2018-19,Masters/Professional,Master of Public Health,243
2018-19,Masters/Professional,Master of Public Policy,97
2018-19,Masters/Professional,Master of Real Estate Dev Des,16
2018-19,Masters/Professional,Master of Science,500
2018-19,Masters/Professional,Master of Social Welfare,91
2018-19,Masters/Professional,Master of Translational Med,12
2018-19,Masters/Professional,Master of Urban Design,15
